ticker,trailingPE,forwardPE,returnOnEquity,debtToEquity,beta
NVDA,22.2,23.6,0.304,15.9,0.6
AAPL,11.6,9.2,0.394,52.0,0.47
MSFT,39.6,31.7,0.319,22.4,0.48
GOOGL,8.9,8.4,0.303,29.6,1.07
AMZN,25.6,19.1,0.307,14.9,0.9
AVGO,8.3,9.2,0.265,48.8,0.57
META,12.3,10.6,0.237,78.0,0.5
TSLA,40.3,38.2,0.328,18.9,0.75
TSM,14.4,13.0,0.348,12.2,0.62
BRK-B,37.5,43.0,0.315,13.9,0.7
LLY,7.0,5.3,0.289,30.1,0.41
JPM,16.3,13.8,0.206,13.0,0.61
WMT,32.6,26.7,0.243,4.9,0.52
ORCL,45.8,32.4,0.288,5.9,0.41
V,10.3,11.9,0.23,5.9,0.61
XOM,6.9,6.1,0.299,67.8,0.86
JNJ,50.4,51.7,0.357,44.1,0.65
MA,9.8,8.6,0.247,15.8,0.52
NFLX,23.9,20.1,0.331,32.5,0.57
ABBV,12.5,11.2,0.36,12.0,0.66
COST,17.0,19.4,0.171,57.6,0.94
PLTR,16.7,15.9,0.251,54.0,0.54
ASML,12.3,11.5,0.256,4.0,0.56
BAC,22.9,17.0,0.102,126.9,0.36
AMD,10.2,7.3,0.259,47.7,0.67
BABA,29.0,24.4,0.313,104.7,0.46
PG,21.5,20.1,0.363,102.8,0.45
HD,12.4,11.8,0.256,16.4,0.68
GE,24.5,25.0,0.393,26.6,0.48
CSCO,12.4,13.8,0.294,28.8,0.92
KO,11.8,13.0,0.287,34.7,0.49
CVX,12.6,9.5,0.238,15.8,0.78
UNH,15.2,15.0,0.135,64.0,0.93
SAP,16.4,15.1,0.231,37.1,0.87
AZN,12.1,13.5,0.261,4.7,0.5
IBM,37.2,40.5,0.098,14.8,0.64
WFC,10.0,9.9,0.266,25.1,0.62
CAT,17.0,17.2,0.165,18.0,0.98
MS,11.5,10.1,0.253,28.3,0.89
MU,29.4,34.0,0.238,18.7,0.49
TM,15.4,13.9,0.33,21.1,0.91
GS,7.2,7.5,0.352,14.8,0.92
NVS,56.6,64.5,0.313,78.9,0.65
PM,5.8,5.3,0.326,2.3,1.13
HSBC,5.9,5.5,0.386,18.4,0.67
AXP,8.5,7.4,0.197,14.6,0.71
TMUS,15.4,12.4,0.131,20.8,0.62
MRK,27.4,29.4,0.306,5.9,0.36
RTX,23.2,22.2,0.312,7.7,0.66
ABT,8.7,7.5,0.253,49.9,0.52
CRM,41.0,37.6,0.354,5.0,0.9
MCD,14.3,11.7,0.306,1.6,0.84
TMO,9.5,10.8,0.221,22.2,0.69
NVO,10.4,9.0,0.397,4.4,0.83
SHEL,8.0,5.8,0.286,54.9,0.47
RY,26.1,24.4,0.293,23.8,0.69
PEP,15.0,16.8,0.328,29.8,1.03
ISRG,20.4,18.3,0.204,57.5,0.5
LIN,14.4,14.0,0.258,4.6,0.8
SHOP,34.8,39.9,0.249,90.9,0.62
AMAT,12.1,13.6,0.342,42.8,0.42
LRCX,30.1,24.9,0.286,8.2,0.93
DIS,17.6,18.4,0.354,32.2,0.36
UBER,15.6,11.8,0.186,33.9,0.72
AMGN,9.0,8.7,0.318,5.5,0.44
INTU,16.4,14.9,0.161,3.2,0.42
T,17.0,18.3,0.31,19.4,0.46
APP,3.3,3.0,0.227,17.3,0.96
C,47.1,36.6,0.257,41.3,0.47
QCOM,15.2,15.6,0.296,25.4,0.91
NEE,23.8,27.3,0.365,11.9,0.69
VZ,5.7,5.8,0.393,53.1,0.73
HDB,15.9,15.4,0.18,20.5,1.03
MUFG,22.9,23.5,0.242,101.5,1.18
BX,7.6,5.5,0.347,10.9,0.37
NOW,9.7,9.5,0.357,36.9,0.34
PDD,15.5,16.9,0.188,40.8,0.75
INTC,28.7,25.3,0.252,45.5,0.68
APH,21.7,20.5,0.297,6.8,0.71
SONY,15.7,13.5,0.193,7.1,0.92
BLK,12.6,13.8,0.38,21.8,0.7
SCHW,10.9,10.3,0.307,3.7,0.42
TJX,13.9,11.7,0.307,19.4,0.91
GEV,24.8,27.1,0.337,202.3,0.54
GILD,22.1,21.1,0.305,10.6,0.94
ANET,8.1,8.5,0.327,212.2,0.94
DHR,13.0,15.3,0.285,16.8,0.46
