ticker,marketCap,sector,trailingPE,forwardPE,pegRatio,priceToFreeCashFlow,beta,returnOnEquity,debtToEquity,returnOnInvestedCapital,grossMargins,operatingMargins,profitMargins,enterpriseToEbitda,priceMomentum12M
AMZN,2651280375808.0,Consumer Cyclical,35.02966,31.543161,0.9623532967032967,101.65952733466679,1.376,0.24327,43.405,,0.50046,0.11057,0.11063,19.405,13.526500218795912
META,1634108440576.0,Communication Services,28.686726,21.322367,,75.83994889257266,1.287,0.32643002,26.311,,0.82013,0.40075,0.30892,16.796,6.9097823472279
TSLA,1491629899776.0,Consumer Cyclical,305.10202,205.42958,,500.67296683841147,1.835,0.06791,17.082,,0.17006999,0.06628,0.05314,134.928,11.204781115013374
AVGO,1661958619136.0,Technology,73.640755,24.88895,0.3914979000531632,66.3612187918748,1.218,0.31048,166.032,,0.77325994,0.31765,0.36198002,4.89,56.99653351063869
NVDA,4501395210240.0,Technology,45.65061,24.372446,0.6844169415292354,84.33307211098439,2.314,0.0107359,9.102,,0.7005,0.63168997,0.53007,39.419,38.805496270237484
AAPL,3816643362816.0,Technology,34.57751,28.224936,0.3791393640350877,48.13945711458923,1.093,0.017142199,152.411,,0.46905,0.31647,0.26915002,26.876,10.692067117459203
GOOGL,3955092357120.0,Communication Services,32.2668,28.995287,0.914073654390935,39.58122346782369,1.086,0.3545,11.424,,0.59172,0.30512,0.32233003,26.937,71.62393982739546
MSFT,3567919824896.0,Technology,34.188034,25.603222,2.6919711811023626,66.89887101722076,1.073,0.32241002,33.154,,0.68764,0.48873,0.35707,21.513,15.904231393441126
TSM,1673010872320.0,Technology,33.461617,24.322088,0.8557958312020459,2.6618876605089445,1.274,0.34657001,20.436,,0.58976,0.50578,0.43287,2.7,62.35417766982469
BRK-B,1072648683520.0,Financial Services,15.890384,20.553679,0.923859534883721,14.04027068878063,0.71,0.1017,18.166,,0.24361,0.41103,0.18129,-2.421,12.006959946426665
JPM,895067684864.0,Financial Services,16.130243,15.484668,1.0081401875,,1.066,0.16437,,,0.0,0.43708,0.347,,36.02340136040543
V,657004560384.0,Financial Services,33.343292,23.606956,,28.590617471515532,0.815,0.52068,68.807,,0.97765,0.6575,0.50145,24.168,11.707595671518378
LLY,956819636224.0,Healthcare,52.269096,32.45963,0.10880328059950041,683.3591576582924,0.347,0.9647,178.516,,0.83029,0.48294,0.30986,34.287,34.836759405532014
WMT,930033106944.0,Consumer Defensive,40.786716,39.148895,1.158713522727273,89.63099913085578,0.661,0.23661,66.747,,0.24906999,0.0373,0.03259,22.876,28.66445801590185
ORCL,573877256192.0,Technology,37.545,25.114626,0.41303630363036303,,1.651,0.69026,432.511,,0.68543,0.31997,0.25280002,25.997,31.083287870852615
MA,506888486912.0,Financial Services,35.828117,29.340126,1.5645465938864627,30.73699225491397,0.857,0.018486099,239.715,,1.0,0.598,0.45275003,26.779,11.692672866132847
ASML,494911619072.0,Technology,45.086987,41.13424,11.86499657894737,53.10060365003087,1.341,0.53852004,14.24,,0.52711,0.32841998,0.29378,40.381,76.96268537996953
PLTR,429828898816.0,Technology,419.39532,178.46257,2.0969766,349.0685972445092,1.545,0.19504,3.52,,0.80807996,0.33296,0.28114,476.06,177.531533831103
