ticker,marketCap,sector,trailingPE,forwardPE,pegRatio,priceToFreeCashFlow,beta,returnOnEquity,debtToEquity,returnOnInvestedCapital,grossMargins,operatingMargins,profitMargins,enterpriseToEbitda,priceMomentum12M
GOOGL,3629518422016.0,Communication Services,29.581442,33.444195,0.8380011898016998,36.322990826140895,1.082,0.3545,11.424,,0.59172,0.30512,0.32233003,24.534,82.67875414104647
AMZN,2359223910400.0,Consumer Cyclical,31.170904,35.884552,0.8563435164835165,90.46103418203948,1.368,0.24327,43.405,,0.50046,0.11057,0.11063,17.362,11.957186214823201
MSFT,3509346369536.0,Technology,33.55508,31.579933,2.6421322834645666,65.80061455135471,1.065,0.32241002,33.154,,0.68764,0.48873,0.35707,21.193,14.053419019705915
TSLA,1300694564864.0,Consumer Cyclical,269.71722,120.70679,,436.58459442772426,1.872,0.06791,17.082,,0.17006999,0.06628,0.05314,118.275,10.928637028652899
AVGO,1606548586496.0,Technology,87.007675,55.137764,0.46256073896863376,69.55734356218137,1.21,0.27083,166.032,,0.77185,0.31765,0.31592,5.167,109.18019061136613
META,1497823576064.0,Communication Services,26.317537,23.488144,,69.51488405326275,1.272,0.32643002,26.311,,0.82013,0.40075,0.30892,15.289,6.613463188365176
NVDA,4347678687232.0,Technology,44.27723,43.417477,0.6638265367316342,81.07729101444373,2.269,0.0107359,8.815,,0.7005,0.63168997,0.53007,38.126,26.052343140468004
AAPL,4029017227264.0,Technology,36.344044,32.670273,0.39850925438596485,50.86884876382676,1.109,0.017142199,152.411,,0.46905,0.31647,0.26915002,28.113,18.640056779613335
BRK-B,1087383011328.0,Financial Services,16.12928,25.101595,0.9377488372093025,14.233134117695897,0.709,0.1017,18.166,,0.24361,0.41103,0.18129,-2.421,5.764104382064672
WMT,840497627136.0,Consumer Defensive,36.825176,38.72059,1.0461697727272727,80.7812293750729,0.649,0.23661,66.747,,0.24906999,0.0373,0.03259,21.166,17.588369840278496
V,636590161920.0,Financial Services,32.154903,25.906794,2.6795752499999996,27.574965717704377,0.82,0.52068,68.807,,0.97765,0.6575,0.50145,22.68,6.578949800661227
ORCL,566623535104.0,Technology,46.11601,27.759777,,,1.636,0.69241995,452.534,,0.69662005,0.31381,0.21079999,27.223,4.392817712854691
LLY,949975187456.0,Healthcare,51.819065,46.765224,0.10786649666944213,678.4708637592624,0.389,0.9647,178.516,,0.83029,0.48294,0.30986,34.167,42.72591215440264
JPM,819481608192.0,Financial Services,14.768086,17.802868,0.923005375,,1.076,0.16437,,,0.0,0.43708,0.347,,22.441666168797127
