ticker,marketCap,exchange
NVDA,5114022068224,NMS
GOOGL,4607987679232,NMS
AAPL,4583336181760,NMS
MSFT,3344578379776,NMS
AMZN,2911304417280,NMS
AVGO,2115307700224,NMS
TSM,2170280083456,NYQ
TSLA,1636706942976,NMS
META,1605578129408,NMS
MU,1095029751808,NMS
BRK-B,1023384027136,NYQ
LLY,985374195712,NYQ
WMT,922642153472,NMS
AMD,841552887808,NMS
JPM,802004533248,NYQ
ORCL,649353691136,NYQ
ASML,621586219008,NMS
V,620653051904,NYQ
XOM,602095026176,NYQ
INTC,576381648896,NMS
JNJ,542418173952,NYQ
CSCO,474627538944,NMS
MA,436472774656,NYQ
COST,424273805312,NMS
CAT,403418677248,NYQ
LRCX,397906673664,NMS
ABBV,384666140672,NYQ
ARM,377341575168,NMS
PLTR,375275192320,NMS
BAC,366184071168,NYQ
NFLX,362212884480,NMS
CVX,363386929152,NYQ
AMAT,357329371136,NMS
UNH,345376391168,NYQ
KO,339939131392,NYQ
GE,338274058240,NYQ
PG,334293663744,NYQ
MS,328075247616,NYQ
HSBC,321494548480,NYQ
HD,316225585152,NYQ
GS,302547828736,NYQ
MRK,293217566720,NYQ
AZN,287945981952,NYQ
BABA,298020438016,NYQ
IBM,279897833472,NYQ
TXN,278197174272,NMS
PM,276457160704,NYQ
NVS,286538170368,NYQ
DELL,273409769472,NYQ
RY,263389986816,NYQ
QCOM,264575090688,NMS
GEV,260206952448,NYQ
KLAC,251028209664,NMS
SNDK,251009171456,NMS
TM,247569121280,NYQ
RTX,241945149440,NYQ
WFC,237287096320,NYQ
SHEL,233803776000,NYQ
LIN,230105628672,NMS
PANW,228450598912,NMS
BHP,225862090752,NYQ
AXP,215935860736,NYQ
C,214732144640,NYQ
MUFG,211191103488,NYQ
SAP,214318104576,NYQ
APP,205961166848,NMS
TMUS,202945839104,NMS
NVO,201954295808,NYQ
ADI,201580969984,NMS
ANET,200799748096,NYQ
VZ,199633469440,NYQ
STX,197276663808,NMS
MCD,198373244928,NYQ
PEP,197099208704,NMS
TTE,194102018048,NYQ
TD,187639955456,NYQ
CRWD,186066206720,NMS
RIO,173016891392,NYQ
WDC,183098605568,NMS
TMO,183027302400,NYQ
APH,183009673216,NYQ
BA,182216081408,NYQ
AMGN,181768355840,NMS
NEE,181468528640,NYQ
SAN,179716227072,NYQ
MRVL,179488391168,NMS
DIS,176828973056,NYQ
T,172318801920,NYQ
TJX,171124752384,NYQ
BLK,162511355904,NYQ
GILD,166904233984,NMS
SCCO,159606505472,NYQ
BUD,154845560832,NYQ
CRM,156510912512,NYQ
UNP,155932852224,NYQ
GLW,155913158656,NYQ
ETN,155552989184,NYQ
SHOP,154044579840,NMS
SCHW,151913480192,NYQ
HON,150720724992,NMS
ISRG,150391717888,NMS
PFE,149211447296,NYQ
ABT,149099200512,NYQ
DE,146446778368,NYQ
