ticker,marketCap,exchange
NVDA,4347678687232,NMS
AAPL,4029017227264,NMS
GOOGL,3629518422016,NMS
MSFT,3509346369536,NMS
AMZN,2359223910400,NMS
AVGO,1606548586496,NMS
META,1497823576064,NMS
TSLA,1300694564864,NMS
TSM,1426605080576,NYQ
BRK-B,1087383011328,NYQ
LLY,949975187456,NYQ
WMT,840497627136,NYQ
JPM,819481608192,NYQ
V,636590161920,NYQ
ORCL,566623535104,NYQ
XOM,499140984832,NYQ
JNJ,491255267328,NYQ
MA,488528019456,NYQ
NFLX,441995165696,NMS
ABBV,417597620224,NYQ
COST,398690353152,NMS
BAC,381902225408,NYQ
ASML,375171907584,NMS
PLTR,369075126272,NMS
PG,353226063872,NYQ
HD,341736128512,NYQ
BABA,364890390528,NYQ
AMD,331762302976,NMS
KO,313952501760,NYQ
GE,304812687360,NYQ
CVX,302183055360,NYQ
CSCO,300678283264,NMS
UNH,289841184768,NYQ
AZN,282149257216,NMS
IBM,278027665408,NYQ
SAP,276180238336,NYQ
WFC,266238001152,NYQ
CAT,258875473920,NYQ
TM,257565818880,NYQ
MS,252492414976,NYQ
NVS,244281409536,NYQ
AXP,245569896448,NYQ
GS,234315218944,NYQ
MRK,244183302144,NYQ
PM,241652596736,NYQ
TMUS,235752767488,NMS
HSBC,236752551936,NYQ
MU,232765784064,NMS
RTX,227502178304,NYQ
ABT,222970200064,NYQ
TMO,220720971776,NYQ
MCD,220753526784,NYQ
CRM,217117163520,NYQ
NVO,211642941440,NYQ
RY,211531890688,NYQ
SHEL,210602754048,NYQ
PEP,200337080320,NMS
ISRG,201323986944,NMS
LIN,193537720320,NMS
SHOP,192412385280,NMS
DIS,187488534528,NYQ
INTU,184889540608,NMS
T,183829430272,NYQ
AMGN,181758754816,NMS
LRCX,179886260224,NMS
AMAT,178451890176,NMS
C,181696626688,NYQ
APP,175977906176,NMS
BX,175224143872,NYQ
QCOM,176200712192,NMS
UBER,174904066048,NYQ
NEE,173856260096,NYQ
VZ,173843218432,NYQ
MUFG,174817837056,NYQ
SONY,170205708288,NYQ
HDB,187991670784,NYQ
NOW,169316270080,NYQ
TJX,168937668608,NYQ
BLK,157434724352,NYQ
INTC,164564992000,NMS
APH,161085718528,NYQ
SCHW,164295507968,NYQ
PDD,160760758272,NMS
DHR,162822963200,NYQ
GILD,157135781888,NMS
ACN,156865445888,NYQ
BKNG,154530332672,NMS
GEV,151312957440,NYQ
SPGI,150696083456,NYQ
UL,148569145344,NYQ
SAN,150696443904,NYQ
ANET,147877855232,NYQ
TXN,144916463616,NMS
KLAC,144473735168,NMS
BSX,143618981888,NYQ
PFE,142370127872,NYQ
SYK,140835160064,NYQ
TD,141539082240,NYQ
ARM,139595595776,NMS
TTE,140095602688,NYQ
WELL,137217564672,NYQ
BA,136589156352,NYQ
ADBE,137521397760,NMS
UNP,134184861696,NYQ
PGR,133060026368,NYQ
COF,132936458240,NYQ
BHP,136355225600,NYQ
DE,131715301376,NYQ
LOW,131395657728,NYQ
MDT,129800740864,NYQ
ETN,129134698496,NYQ
PANW,127481298944,NMS
CRWD,123136163840,NMS
BUD,121840140288,NYQ
SNY,121143017472,NMS
HON,128048726016,NMS
BTI,120180989952,NYQ
SPOT,120161804288,NYQ
PLD,116842184704,NYQ
RIO,114426224640,NYQ
CB,118925336576,NYQ
BBVA,116987305984,NYQ
UBS,116815003648,NYQ
ADI,114291089408,NMS
HCA,114890809344,NYQ
IBN,110371831808,NYQ
SMFG,109118398464,NYQ
VRTX,109417275392,NMS
COP,109120094208,NYQ
MCK,107720622080,NYQ
LMT,107576025088,NYQ
PH,106242605056,NYQ
KKR,109879156736,NYQ
CEG,105627443200,NMS
ENB,104877891584,NYQ
ADP,102536249344,NMS
SCCO,101313921024,NYQ
BN,100497121280,NYQ
CMCSA,100981850112,NMS
CVS,99053813760,NYQ
MELI,98950127616,NMS
CME,98476187648,NMS
SO,98295627776,NYQ
MO,97752850432,NYQ
SBUX,97051484160,NMS
HOOD,96482967552,NMS
DUK,95496806400,NYQ
BMY,94153580544,NYQ
GSK,94774231040,NYQ
NKE,92831039488,NYQ
GD,91932794880,NYQ
NEM,91709562880,NYQ
BP,92401008640,NYQ
TT,91253547008,NYQ
MMM,89529720832,NYQ
MMC,88944615424,NYQ
ICE,88399298560,NYQ
WM,87269056512,NYQ
BMO,87628365824,NYQ
MCO,86029369344,NYQ
ORLY,84967022592,NMS
AMT,84060405760,NYQ
NTES,85920251904,NMS
SHW,84040286208,NYQ
BNS,83269664768,NYQ
DELL,82372435968,NYQ
MFG,82316263424,NYQ
CDNS,81905033216,NMS
DASH,81730256896,NMS
BAM,81478615040,NYQ
NOC,81141792768,NYQ
AEM,80327450624,NYQ
PBR,82230116352,NYQ
PBR-A,80803840000,NYQ
UPS,80308183040,NYQ
MAR,80308084736,NMS
HWM,79405203456,NYQ
SNOW,79289360384,NYQ
CM,78158045184,NYQ
SE,77755891712,NYQ
REGN,80115908608,NMS
NU,76996198400,NYQ
TDG,75916230656,NYQ
ECL,75747704832,NYQ
APO,75466547200,NYQ
CTAS,74868211712,NMS
ITUB,79108808704,NYQ
AON,74716774400,NYQ
CI,74285023232,NYQ
USB,74354728960,NYQ
BK,75058782208,NYQ
EQIX,74099073024,NMS
NGG,74611613696,NYQ
RELX,73846595584,NYQ
CRH,73754099712,NYQ
MDLZ,73754894336,NMS
PNC,73475293184,NYQ
WMB,72796856320,NYQ
SNPS,72137351168,NMS
ING,72542453760,NYQ
EMR,72162213888,NYQ
RCL,72020762624,NYQ
ITW,72224956416,NYQ
ELV,72446615552,NYQ
INFY,73371992064,NYQ
BCS,72434941952,NYQ
COR,70897262592,NYQ
MNST,70384607232,NMS
EPD,70240624640,NYQ
CNQ,69686534144,NYQ
JCI,74305470464,NYQ
ABNB,69954043904,NMS
SPG,69059059712,NYQ
RACE,69329985536,NYQ
AMX,68990083072,NYQ
GLW,68125855744,NYQ
CVNA,67183050752,NYQ
RSG,68375261184,NYQ
LYG,68525584384,NYQ
MRVL,66777387008,NMS
GM,66959634432,NYQ
NET,65285402624,NYQ
CL,65409310720,NYQ
CMI,65223512064,NYQ
AZO,64958169088,NYQ
COIN,64825069568,NMS
TRV,65304576000,NYQ
AJG,64563343360,NYQ
AEP,64681492480,NMS
DB,65816637440,NYQ
TEL,64487612416,NYQ
NSC,64239648768,NYQ
PWR,64142196736,NYQ
CSX,63907414016,NMS
HLT,64555986944,NYQ
FDX,63573475328,NYQ
CP,64047251456,NYQ
RBLX,62646849536,NYQ
ADSK,62215069696,NMS
B,62494003200,NYQ
MSI,61475168256,NYQ
VRT,61109133312,NYQ
NWG,61839966208,NYQ
SRE,60373041152,NYQ
WDAY,60112379904,NMS
TRI,61024137216,NMS
KMI,60024033280,NYQ
FTNT,60423913472,NMS
TFC,58643509248,NYQ
AFL,59355598848,NYQ
MFC,58199445504,NYQ
EOG,58404917248,NYQ
IDXX,58076205056,NMS
ALNY,57651826688,NMS
EQNR,57668558848,NYQ
WBD,57414668288,NMS
MPC,57952350208,NYQ
APD,57288048640,NYQ
FCX,57250553856,NYQ
CNI,58253340672,NYQ
VST,57122590720,NYQ
ET,56685215744,NYQ
PYPL,57867272192,NMS
ROST,56910270464,NMS
ARGX,57226887168,NMS
E,55722438656,NYQ
ALL,56474464256,NYQ
TRP,56233910272,NYQ
DDOG,55248179200,NMS
BDX,55238844416,NYQ
MPLX,55090704384,NYQ
DLR,54966558720,NYQ
PCAR,54090797056,NMS
SLB,54065090560,NYQ
PSX,54039494656,NYQ
ZTS,54094974976,NYQ
SU,53951217664,NYQ
VLO,53882544128,NYQ
D,52490051584,NYQ
O,52131057664,NYQ
LHX,51971194880,NYQ
STX,51742433280,NMS
DEO,51138256896,NYQ
VALE,51732701184,NYQ
F,51121119232,NYQ
URI,51472977920,NYQ
NDAQ,50298896384,NMS
EA,50193801216,NMS
