ticker,marketCap,exchange
NVDA,4548767252480,NMS
AAPL,3985534877696,NMS
MSFT,3620844077056,NMS
GOOGL,3546550370304,NMS
AMZN,2380604112896,NMS
AVGO,1673700704256,NMS
META,1487917940736,NMS
TSLA,1343597576192,NMS
TSM,1464518574080,NYQ
BRK-B,1081385680896,NYQ
LLY,940920995840,NYQ
JPM,833917812736,NYQ
WMT,802909847552,NYQ
ORCL,642939289600,NYQ
V,629098086400,NYQ
XOM,500292026368,NYQ
JNJ,487906344960,NYQ
MA,479451709440,NYQ
NFLX,466105565184,NMS
ABBV,411641544704,NYQ
COST,394960699392,NMS
PLTR,394268016640,NMS
ASML,403413499904,NMS
BAC,385309409280,NYQ
AMD,363948703744,NMS
BABA,379110948864,NYQ
PG,344027955200,NYQ
HD,332956827648,NYQ
GE,319001362432,NYQ
CSCO,309891104768,NMS
KO,306033786880,NYQ
CVX,305648566272,NYQ
UNH,279985651712,NYQ
SAP,277662072832,NYQ
AZN,275917144064,NMS
IBM,269699153920,NYQ
WFC,269601619968,NYQ
CAT,260135911424,NYQ
MS,259069313024,NYQ
MU,253587521536,NMS
TM,256471023616,NYQ
GS,237935738880,NYQ
NVS,244281409536,NYQ
PM,242228559872,NYQ
HSBC,237370540032,NYQ
AXP,239828860928,NYQ
TMUS,237767278592,NMS
MRK,237414318080,NYQ
RTX,232985952256,NYQ
ABT,219558903808,NYQ
CRM,217853280256,NYQ
MCD,216036589568,NYQ
TMO,215577526272,NYQ
NVO,217730498560,NYQ
SHEL,211116851200,NYQ
RY,209106157568,NYQ
PEP,201404956672,NMS
ISRG,202410180608,NMS
LIN,193753432064,NMS
SHOP,190069063680,NMS
AMAT,187314536448,NMS
LRCX,187641610240,NMS
DIS,188189736960,NYQ
UBER,186707525632,NYQ
AMGN,184375771136,NMS
INTU,181488500736,NMS
T,179150389248,NYQ
APP,179289358336,NMS
C,183776837632,NYQ
QCOM,179232702464,NMS
NEE,175501508608,NYQ
VZ,173674561536,NYQ
HDB,186915094528,NYQ
MUFG,175507914752,NYQ
BX,170286858240,NYQ
NOW,169944891392,NYQ
PDD,167546667008,NMS
INTC,167474692096,NMS
APH,167279443968,NYQ
SONY,170325016576,NYQ
BLK,157428531200,NYQ
SCHW,168161918976,NYQ
TJX,162667905024,NYQ
GEV,162073968640,NYQ
GILD,158910152704,NMS
ANET,157171367936,NYQ
DHR,159257034752,NYQ
KLAC,153736413184,NMS
BKNG,152027316224,NMS
SAN,152403640320,NYQ
ACN,150157328384,NYQ
SPGI,149841231872,NYQ
UL,144805707776,NYQ
ARM,145346199552,NMS
BSX,143811706880,NYQ
TXN,142816346112,NMS
PFE,141460406272,NYQ
BA,141149732864,NYQ
TD,140745539584,NYQ
SYK,139290165248,NYQ
TTE,139098783744,NYQ
PANW,136728141824,NMS
WELL,135137992704,NYQ
BHP,137357082624,NYQ
ETN,134561546240,NYQ
ADBE,134942253056,NMS
UNP,131189391360,NYQ
PGR,130726150144,NYQ
CRWD,130644738048,NMS
MDT,128697688064,NYQ
COF,129438302208,NYQ
DE,128344293376,NYQ
LOW,128098017280,NYQ
SPOT,127351627776,NYQ
HON,128419356672,NMS
SNY,120947736576,NMS
UBS,120375861248,NYQ
BUD,118436052992,NYQ
BTI,119092084736,NYQ
RIO,113510686720,NYQ
BBVA,117675466752,NYQ
PLD,113693319168,NYQ
CB,117198995456,NYQ
ADI,114232049664,NMS
CEG,111678742528,NMS
IBN,112385384448,NYQ
HCA,112564912128,NYQ
LMT,109707567104,NYQ
COP,109881950208,NYQ
SMFG,109118398464,NYQ
VRTX,107948154880,NMS
HOOD,106248159232,NMS
MELI,105307570176,NMS
MCK,106033963008,NYQ
ENB,106365526016,NYQ
KKR,108795830272,NYQ
PH,103850917888,NYQ
SCCO,102698188800,NYQ
ADP,101438464000,NMS
MO,98458411008,NYQ
CME,98259828736,NMS
SO,98053390336,NYQ
CMCSA,99209592832,NMS
BN,98272337920,NYQ
CVS,97175060480,NYQ
NEM,96125329408,NYQ
SBUX,95152529408,NMS
DUK,95053537280,NYQ
GSK,93085392896,NYQ
BMY,93217136640,NYQ
NKE,92594528256,NYQ
GD,92667518976,NYQ
BP,91869011968,NYQ
TT,90525917184,NYQ
MMM,88725454848,NYQ
NTES,85817335808,NMS
ICE,87952809984,NYQ
DASH,87197466624,NMS
WM,86882304000,NYQ
MMC,87081369600,NYQ
BMO,88069513216,NYQ
SNOW,85709619200,NYQ
SE,84972617728,NYQ
AMT,84500463616,NYQ
